COD_MUN,MUNICIPIO,SIGLA_UF,IDSC-BR_2024,Classificação_2024
2100501,Alto Parnaíba ,MA,"35,58",5341
2100550,Amapá do Maranhão ,MA,"37,02",5199
2100600,Amarante do Maranhão ,MA,"30,8",5560
2100709,Anajatuba ,MA,"37,8",5094
2100808,Anapurus ,MA,"39,17",4833
2100832,Apicum-Açu ,MA,"38,77",4910
2100873,Araguanã ,MA,"33,61",5477
2100907,Araioses ,MA,"36,76",5227
2100956,Arame ,MA,"30,75",5561
2101004,Arari ,MA,"38,63",4944
2101103,Axixá ,MA,"36,67",5241
2101202,Bacabal ,MA,"38,85",4894
2101251,Bacabeira ,MA,37,5202
2101301,Bacuri ,MA,"34,59",5419
2101350,Bacurituba ,MA,"44,91",3300
2101400,Balsas ,MA,"39,61",4731
2101509,Barão de Grajaú ,MA,"38,8",4907
2101608,Barra do Corda ,MA,"35,09",5386
2101707,Barreirinhas ,MA,"38,68",4937
2101731,Belágua ,MA,"39,54",4749
2101772,Bela Vista do Maranhão ,MA,"36,85",5218
2101806,Benedito Leite ,MA,"30,75",5562
2101905,Bequimão ,MA,"33,77",5469
2101939,Bernardo do Mearim ,MA,"44,99",3273
2101970,Boa Vista do Gurupi ,MA,"39,04",4862
2102002,Bom Jardim ,MA,"31,95",5541
2102036,Bom Jesus das Selvas ,MA,"32,31",5530
2102077,Bom Lugar ,MA,"41,32",4311
2102101,Brejo ,MA,"37,98",5054
2102150,Brejo de Areia ,MA,"35,5",5345
2102200,Buriti ,MA,"35,72",5320
2102309,Buriti Bravo ,MA,"36,21",5288
2102325,Buriticupu ,MA,"35,18",5381
2102358,Buritirana ,MA,"33,9",5462
2102374,Cachoeira Grande ,MA,"37,54",5135
2102408,Cajapió ,MA,"33,39",5485
2102507,Cajari ,MA,"32,93",5507
2102556,Campestre do Maranhão ,MA,"37,19",5181
2102606,Cândido Mendes ,MA,"31,5",5549
2102705,Cantanhede ,MA,"34,15",5449
2102754,Capinzal do Norte ,MA,"36,12",5299
2102804,Carolina ,MA,"32,07",5537
2102903,Carutapera ,MA,"37,57",5129
2103000,Caxias ,MA,"37,3",5165
2103109,Cedral ,MA,"41,69",4210
2103125,Central do Maranhão ,MA,"34,46",5431
2103158,Centro do Guilherme ,MA,"43,51",3697
2103174,Centro Novo do Maranhão ,MA,"39,45",4769
2103208,Chapadinha ,MA,"36,29",5284
2103257,Cidelândia ,MA,"40,03",4629
2103307,Codó ,MA,"38,2",5022
2103406,Coelho Neto ,MA,"35,46",5353
2103505,Colinas ,MA,"33,81",5465
2103554,Conceição do Lago-Açu ,MA,"34,07",5452
2103604,Coroatá ,MA,"36,69",5235
2103703,Cururupu ,MA,"37,42",5151
2103752,Davinópolis ,MA,"39,34",4788
2103802,Dom Pedro ,MA,"35,74",5318
2103901,Duque Bacelar ,MA,"41,97",4124
2104008,Esperantinópolis ,MA,"37,75",5106
2104057,Estreito ,MA,"36,98",5205
2104073,Feira Nova do Maranhão ,MA,"34,92",5397
2104081,Fernando Falcão ,MA,"32,5",5521
2104099,Formosa da Serra Negra ,MA,"34,51",5425
2104107,Fortaleza dos Nogueiras ,MA,"38,41",4975
2104206,Fortuna ,MA,"35,58",5340
2104305,Godofredo Viana ,MA,"40,11",4609
2104404,Gonçalves Dias ,MA,"33,02",5502
2104503,Governador Archer ,MA,"35,14",5385
2104552,Governador Edison Lobão ,MA,"34,87",5401
2104602,Governador Eugênio Barros ,MA,"37,87",5081
2104628,Governador Luiz Rocha ,MA,"36,56",5250
2104651,Governador Newton Bello ,MA,"33,61",5478
2104677,Governador Nunes Freire ,MA,"35,16",5382
2104701,Graça Aranha ,MA,"35,65",5328
2104800,Grajaú ,MA,"34,25",5445
2104909,Guimarães ,MA,"40,88",4427
2105005,Humberto de Campos ,MA,"35,84",5312
2105104,Icatu ,MA,"37,59",5123
2105153,Igarapé do Meio ,MA,"41,82",4174
2105203,Igarapé Grande ,MA,"35,26",5372
2105302,Imperatriz ,MA,"44,39",3454
2105351,Itaipava do Grajaú ,MA,"33,65",5475
2105401,Itapecuru Mirim ,MA,"37,16",5184
2105427,Itinga do Maranhão ,MA,"37,12",5190
2105450,Jatobá ,MA,"37,74",5107
2105476,Jenipapo dos Vieiras ,MA,"31,31",5553
2105500,João Lisboa ,MA,"35,6",5336
2105609,Joselândia ,MA,"36,17",5294
2105658,Junco do Maranhão ,MA,"39,22",4819
2105708,Lago da Pedra ,MA,"34,2",5448
2105807,Lago do Junco ,MA,"36,5",5263
2105906,Lago Verde ,MA,"33,36",5486
2105922,Lagoa do Mato ,MA,"42,29",4027
2105948,Lago dos Rodrigues ,MA,"39,65",4723
2105963,Lagoa Grande do Maranhão ,MA,"35,32",5369
2105989,Lajeado Novo ,MA,"34,32",5439
2106003,Lima Campos ,MA,"40,92",4411
2106102,Loreto ,MA,"32,55",5517
2106201,Luís Domingues ,MA,"35,41",5356
2106300,Magalhães de Almeida ,MA,"38,67",4940
2106326,Maracaçumé ,MA,"34,23",5447
2106359,Marajá do Sena ,MA,"29,63",5567
2106375,Maranhãozinho ,MA,"36,97",5206
2106409,Mata Roma ,MA,"34,02",5454
2106508,Matinha ,MA,"36,51",5260
2106607,Matões ,MA,"35,25",5375
2106631,Matões do Norte ,MA,"34,32",5440
